Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time (minutes)
2,3.414,16.98,19.95,0.77
4,2.884,26.55,26.98,1.53
6,2.5291,33.75,30.84,2.27
8,2.275,39.1,33.85,3.05
10,2.0745,43.56,35.04,3.8
12,1.9038,47.45,35.43,4.6
14,1.7496,51.02,36.32,5.39
16,1.6136,54.19,35.86,6.4
18,1.4919,56.9,36.43,7.11
20,1.3767,59.63,35.76,7.76
22,1.2881,62.14,35.72,8.51
24,1.1863,64.44,35.57,9.29
26,1.1249,66.27,34.9,10.09
28,1.0429,68.21,35.39,10.86
30,0.9724,70.22,35.16,11.56
32,0.9166,71.66,34.99,12.32
34,0.8659,72.97,34.27,13.0
36,0.8149,74.42,34.62,13.68
38,0.7665,75.77,34.68,14.31
40,0.7298,76.93,34.95,15.02
42,0.7103,77.48,34.27,15.81
44,0.6635,78.78,34.46,16.54
46,0.641,79.29,33.95,17.3
48,0.6172,80.26,33.74,18.09
50,0.5914,80.89,34.09,18.89
52,0.5632,81.86,34.03,19.66
54,0.5442,82.06,33.81,20.45
56,0.5336,82.52,33.68,21.24
58,0.4953,83.74,33.27,21.97
60,0.4942,83.77,33.89,22.69
62,0.473,84.42,33.09,23.45
64,0.4475,85.25,33.71,24.23
66,0.4462,85.3,33.38,24.92
68,0.4236,85.99,33.69,25.65
70,0.4402,85.38,33.33,26.44
72,0.4082,86.5,33.53,27.11
74,0.3949,86.93,33.81,27.89
76,0.3966,86.71,33.98,28.68
78,0.3799,87.46,33.85,29.4
80,0.3616,88.05,33.59,30.15
82,0.361,87.91,33.85,30.9
84,0.3648,87.82,33.32,31.69
86,0.3473,88.33,33.89,32.43
88,0.3369,88.84,33.51,33.04
90,0.3511,88.27,33.17,33.79
92,0.3362,88.79,33.79,34.58
94,0.3165,89.51,33.67,35.34
96,0.3239,89.22,33.86,36.09
98,0.2962,90.05,34.04,36.8
100,0.3186,89.37,33.56,37.55
