Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time (minutes)
2,3.2257,19.98,23.29,0.66
4,2.5173,34.11,32.91,1.34
6,2.0995,43.07,36.92,2.13
8,1.7871,49.83,38.65,2.94
10,1.5456,55.75,39.89,3.71
12,1.3098,61.31,40.64,4.5
14,1.1197,66.23,39.47,5.3
16,0.9683,70.33,39.92,6.06
18,0.832,73.97,38.46,6.74
20,0.7143,77.52,38.42,7.47
22,0.6325,79.96,38.89,8.24
24,0.5534,82.18,38.17,8.94
26,0.505,83.52,38.16,9.69
28,0.4921,83.8,38.37,10.47
30,0.3716,87.92,38.52,11.24
32,0.3854,87.31,38.48,12.0
34,0.3485,88.42,38.6,12.75
36,0.3165,89.47,38.11,13.41
38,0.3081,89.87,37.88,14.18
40,0.2724,90.91,38.56,14.98
42,0.2741,90.89,37.94,15.76
44,0.2428,91.89,38.54,16.57
46,0.2417,91.95,38.42,17.36
48,0.2383,92.11,38.85,18.07
50,0.2175,92.67,38.13,18.86
52,0.2344,92.26,38.55,19.64
54,0.1905,93.72,38.75,20.39
56,0.2149,92.84,38.78,21.07
58,0.202,93.4,39.23,21.66
60,0.1858,93.81,39.06,22.31
62,0.1816,93.95,37.95,23.05
64,0.1669,94.39,38.59,23.85
66,0.1644,94.65,39.0,24.65
68,0.1745,94.24,38.53,25.46
70,0.1707,94.43,39.17,26.26
72,0.1521,94.8,39.02,27.06
74,0.1817,94.03,38.98,27.83
76,0.1431,95.18,39.17,28.64
78,0.1462,95.11,38.79,29.45
80,0.1516,94.92,39.14,30.21
82,0.1392,95.35,39.69,31.01
84,0.1423,95.28,38.86,31.67
86,0.1398,95.36,38.69,32.45
88,0.1302,95.6,39.35,33.27
90,0.1374,95.53,38.13,33.95
92,0.1356,95.55,39.09,36.8
94,0.1193,96.06,39.38,37.45
96,0.1295,95.73,38.07,38.22
98,0.138,95.47,38.65,42.83
100,0.108,96.4,39.24,43.58
