Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time (minutes)
2,3.5406,14.97,16.92,0.74
4,3.0684,23.44,24.1,1.39
6,2.7746,28.97,27.78,2.17
8,2.5474,33.64,30.15,2.95
10,2.3606,37.61,31.59,3.66
12,2.2104,40.86,32.48,4.43
14,2.0645,43.82,33.74,5.12
16,1.9357,46.8,33.72,5.85
18,1.8169,49.24,33.16,6.6
20,1.7104,51.92,33.61,7.38
22,1.6074,54.31,33.24,8.1
24,1.5203,56.39,33.02,9.69
26,1.4423,58.14,32.32,13.8
28,1.366,60.15,32.99,14.55
30,1.2966,61.87,32.06,15.32
32,1.2352,63.47,32.1,16.08
34,1.1763,64.92,32.43,16.84
36,1.1272,66.27,31.79,17.6
38,1.0828,67.22,31.63,18.24
40,1.03,68.54,32.18,18.98
42,1.0003,69.51,31.2,19.64
44,0.9584,70.54,31.49,20.41
46,0.9226,71.46,31.64,21.15
48,0.8945,72.03,31.52,21.9
50,0.8548,73.38,31.33,22.67
52,0.8332,73.79,31.12,23.45
54,0.7924,75.11,30.85,24.22
56,0.7803,75.23,30.7,25.0
58,0.7559,76.14,30.91,25.76
60,0.7242,77.03,29.86,26.42
62,0.6982,77.68,30.81,27.22
64,0.7005,77.62,30.99,27.99
66,0.6707,78.44,30.95,28.73
68,0.6566,78.95,30.73,29.54
70,0.6368,79.4,30.73,30.3
72,0.6307,79.69,30.84,31.04
74,0.6042,80.37,30.75,31.82
76,0.6041,80.46,30.98,32.5
78,0.5822,81.03,30.23,33.21
80,0.5597,81.95,30.32,33.99
82,0.5575,81.89,30.04,34.74
84,0.5444,82.22,30.13,35.39
86,0.5431,82.14,30.24,35.92
88,0.5242,82.73,30.61,36.63
90,0.517,83.24,30.07,37.31
92,0.4975,83.48,29.48,38.08
94,0.4979,83.8,30.04,38.85
96,0.476,84.58,30.26,39.58
98,0.4798,84.22,30.25,40.3
100,0.473,84.6,30.21,41.09
