,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA_10,EMA_10,RSI_14,SMA,STD,Upper_Band,Lower_Band,High-Low,High-Prev_Close,Low-Prev_Close,TR,ATR_14,OBV
0,1509580800000,287.3,293.0,274.73,283.12,13423.8572,1509667199999,3810829.6596733,13600,4726.14435,1347012.8971022,,283.12,,,,,,18.269999999999982,,,18.269999999999982,,0.0
1,1509667200000,283.12,307.0,282.0,304.08,8194.03465,1509753599999,2400297.6347816,8973,3439.34248,1009675.1728016,,286.9309090909091,,,,,,25.0,23.879999999999995,1.1200000000000045,25.0,,8194.03465
2,1509753600000,304.09,304.99,292.11,298.04,7828.41744,1509839999999,2333944.7608054,9036,3652.33313,1089665.5338768,,288.9507438016529,,,,,,12.879999999999995,0.910000000000025,11.96999999999997,12.879999999999995,,8194.03465
3,1509840000000,298.1,302.14,293.13,295.53,6638.42119,1509926399999,1974433.013513,7513,3403.76089,1013349.9678548,,290.14697220135236,,,,,,9.009999999999991,4.099999999999966,4.910000000000025,9.009999999999991,,0.0
4,1509926400000,295.19,305.58,290.11,297.97,7515.50103,1510012799999,2233482.6122626,7898,2768.12495,823872.9723537,,291.56934089201553,,,,,,15.46999999999997,10.050000000000011,5.419999999999959,15.46999999999997,,7515.50103
5,1510012800000,297.25,303.52,287.0,291.78,9418.57881,1510099199999,2765345.5827772,8788,3541.77071,1041355.9371219,,291.6076425480127,,,,,,16.519999999999982,5.5499999999999545,10.970000000000027,16.519999999999982,,7515.50103
6,1510099200000,291.31,320.0,290.02,303.02,15961.85772,1510185599999,4839176.806813,14402,7621.19678,2314876.9042327,,293.6826166301922,,,,,,29.980000000000018,28.220000000000027,1.759999999999991,29.980000000000018,,15961.85772
7,1510185600000,303.6,329.0,299.5,317.87,11151.29946,1510271999999,3527294.7503346,8208,5438.08042,1718346.8231336,,298.08032269742995,,,,,,29.5,25.980000000000018,3.519999999999982,29.5,,27113.157180000002
8,1510272000000,318.5,322.65,285.82,293.5,15597.16557,1510358399999,4762536.5850516,9253,7799.9111,2384691.4816294,,297.24753675244267,,,,,,36.829999999999984,4.779999999999973,32.05000000000001,36.829999999999984,,11151.29946
9,1510358400000,293.52,318.0,291.91,310.02,10850.16279,1510444799999,3282643.0277861,8646,5001.69556,1515726.7324973,299.493,299.56980279745306,,,,,,26.089999999999975,24.5,1.589999999999975,26.089999999999975,,10850.16279
10,1510444800000,310.87,316.99,281.01,305.24,21123.15319,1510531199999,6345603.7706789,13661,9589.62986,2900669.9964922,301.70500000000004,300.6007477433707,,,,,,35.98000000000002,6.970000000000027,29.00999999999999,35.98000000000002,,10850.16279
11,1510531200000,304.0,318.88,303.7,312.99,15551.67434,1510617599999,4852265.3955649,9066,7170.70938,2242103.2845542,302.596,302.8533390627578,,,,,,15.180000000000007,13.639999999999986,1.5400000000000205,15.180000000000007,,15551.67434
12,1510617600000,313.0,337.54,312.94,335.61,17709.2227,1510703999999,5756893.4527936,11711,8919.59659,2901086.0739194,306.353,308.8090955968018,,,,,,24.600000000000023,24.55000000000001,0.05000000000001137,24.600000000000023,,33260.897039999996
13,1510704000000,335.6,339.0,324.0,331.33,15597.16131,1510790399999,5178507.4572747,10036,7036.5064,2338129.6177232,309.933,312.90380548829233,66.67589069526113,,,,,15.0,3.3899999999999864,11.610000000000014,15.0,22.164999999999996,17709.2227
14,1510790400000,330.98,334.75,321.41,331.49,14145.71696,1510876799999,4638262.2625835,9493,6014.42341,1974043.7196371,313.28499999999997,316.28311358133004,66.7127358164605,,,,,13.339999999999975,3.420000000000016,9.919999999999959,13.339999999999975,21.812857142857137,14145.71696
15,1510876800000,331.49,334.6,323.84,331.23,18042.02544,1510963199999,5954175.9400211,11548,9389.65878,3102187.4682219,317.23,319.0007292938155,60.94669784694782,,,,,10.760000000000048,3.1100000000000136,7.650000000000034,10.760000000000048,20.795714285714286,14145.71696
16,1510963200000,331.2,349.9,326.01,346.66,14361.4973,1511049599999,4780354.335408,10690,7672.43904,2559237.1123193,321.594,324.02968760403087,68.22338830584705,,,,,23.889999999999986,18.66999999999996,5.220000000000027,23.889999999999986,21.582142857142856,14361.4973
17,1511049600000,346.66,373.56,343.07,354.15,19397.74898,1511135999999,6895884.0624029,10509,9931.92637,3532022.4845988,325.22200000000004,329.50610803966157,71.18080647492411,,,,,30.49000000000001,26.899999999999977,3.590000000000032,30.49000000000001,23.11642857142857,33759.24628
18,1511136000000,355.15,372.5,353.9,367.42,18277.0194,1511222399999,6600961.958264,11553,9171.44481,3318132.2571167,332.61400000000003,336.39954294154126,73.27256886267674,,,,,18.600000000000023,18.350000000000023,0.25,18.600000000000023,23.340000000000003,37674.76838
19,1511222400000,367.42,375.5,350.02,362.12,26237.64398,1511308799999,9556690.2312402,14762,12579.43792,4586895.6041716,337.824,341.07598967944284,73.71224379719526,318.6585,24.95459925439336,368.56769850878675,268.74930149121326,25.480000000000018,8.079999999999984,17.400000000000034,25.480000000000018,23.980000000000008,18277.0194
20,1511308800000,362.12,384.84,359.0,380.65,18121.58484,1511395199999,6654403.0898495,10386,9745.17516,3590374.5272574,345.365,348.27126428318047,74.94376968061178,323.53499999999997,27.08297629994089,377.70095259988176,269.3690474001182,25.839999999999975,22.71999999999997,3.1200000000000045,25.839999999999975,23.684285714285718,18121.58484
21,1511395200000,380.63,425.0,370.02,405.0,25409.00111,1511481599999,10084943.0895568,12731,14505.14543,5758239.6340983,354.56600000000003,358.5855798680567,76.38544000969051,328.581,32.18782981844311,392.95665963688623,264.2053403631138,54.98000000000002,44.35000000000002,10.629999999999995,54.98000000000002,25.504285714285718,43530.58595
22,1511481600000,405.03,475.0,392.8,469.0,30398.35831,1511567999999,13089282.2114721,15706,15383.97249,6660202.9646325,367.90500000000003,378.6609289829555,92.85923610432744,337.129,44.13403518946877,425.39707037893754,248.8609296210625,82.19999999999999,70.0,12.199999999999989,82.19999999999999,28.745000000000005,55807.35942
23,1511568000000,467.57,484.47,450.0,461.82,21428.63117,1511654399999,9958206.2564553,13282,9560.74839,4449274.4617491,380.954,393.7807600769636,88.84339815762539,345.4435,51.01248487793021,447.4684697558604,243.41853024413956,34.47000000000003,15.470000000000027,19.0,34.47000000000003,29.343571428571437,30398.35831
24,1511654400000,461.0,465.0,436.14,462.84,21691.11759,1511740799999,9854650.9432016,13955,9455.95178,4305399.4791836,394.089,406.3369855175156,91.11876434982257,353.687,56.01329626925535,465.71359253851074,241.6604074614893,28.860000000000014,3.180000000000007,25.680000000000007,28.860000000000014,28.835000000000008,21691.11759
25,1511740800000,462.84,486.94,453.0,472.31,23761.11416,1511827199999,11199192.4016095,15797,10794.57638,5093374.5782972,408.197,418.3320790597854,91.19776582540338,362.71349999999995,59.92173986257326,482.55697972514645,242.87002027485343,33.94,24.100000000000023,9.839999999999975,33.94,30.175000000000008,45452.231750000006
26,1511827200000,472.32,477.5,453.5,466.17,23967.24816,1511913599999,11224970.9334287,12944,10904.08622,5113522.343179,420.14799999999997,427.0298828670971,86.90637720488466,370.871,62.420779510807535,495.71255902161505,246.0294409783849,24.0,5.189999999999998,18.810000000000002,24.0,30.132142857142863,23761.11416
27,1511913600000,466.17,515.0,385.0,421.7,51313.49571,1511999999999,23657537.251193,23835,23825.39377,11029389.6810454,426.90299999999996,426.06081325489765,70.8158658497259,376.0625,62.097617707928286,500.2577354158566,251.8672645841434,130.0,48.829999999999984,81.17000000000002,130.0,38.34642857142858,0.0
28,1512000000000,421.92,460.0,387.01,427.43,45184.22265,1512086399999,19125706.0007665,22805,24018.42012,10172953.0960846,432.904,426.3097562994617,71.54599353215954,382.759,59.90842124267241,502.5758424853448,262.9421575146552,72.99000000000001,38.30000000000001,34.69,72.99000000000001,42.607142857142875,45184.22265
29,1512086400000,428.05,465.97,413.74,457.51,33072.21995,1512172799999,14471054.869735,19944,19043.24922,8328610.9814412,442.44300000000004,431.98252788137773,75.00990255882118,390.1335,59.55998509022126,509.25347018044255,271.0135298195575,52.23000000000002,38.54000000000002,13.689999999999998,52.23000000000002,45.56928571428572,78256.44260000001
30,1512172800000,457.53,471.91,445.0,457.63,25796.14,1512259199999,11883272.7996642,18388,12336.59141,5685998.3052922,450.14099999999996,436.6457046302181,73.3965844402277,397.753,57.8510702352898,513.4551404705796,282.0508595294204,26.910000000000025,14.400000000000034,12.509999999999991,26.910000000000025,45.78500000000001,58868.35995
