Losses,Train Sharpe Ratios,Train Annualized Returns,Test Sharpe Ratios,Test Annualized Returns
0.0003695882624015212,-0.27952373,,-0.31849062,
0.01698039099574089,-0.060231175,,-0.10382445,
0.09819339215755463,-0.0035214494,0.21160053554966018,-0.06670921,
0.008412240073084831,-0.056558743,,-0.114901006,
0.012710688635706902,-0.06452113,,-0.10342748,
0.001915772445499897,-0.10454416,0.10229354613189501,-0.16151686,
0.0009259060025215149,-0.11840312,0.12506909798345922,-0.17921937,
0.000157038593897596,-0.4565626,0.02550575544197664,-0.52181864,-0.26383755003141696
7.437362455675611e-06,-1.7969368,0.022932996541620954,-1.884576,-0.034058087003892124
2.922591556853149e-05,-0.7901299,0.03748499407628736,-0.85459733,-0.050094971494015095
3.6301036743680015e-05,-0.7438464,0.009807614764894446,-0.81106645,-0.149704960514364
1.4335466403281316e-05,-1.2851126,-0.004697299028586399,-1.3045136,-0.07091491516627313
9.216136277245823e-06,-1.417774,0.0235910875389993,-1.4809581,-0.05241574839461827
0.00013069523265585303,-0.41035023,0.01676708330904475,-0.45644885,-0.2510943400015755
6.248774298001081e-05,-0.6911303,0.037821165689736924,-0.7557549,-0.09044880148926593
3.756443766178563e-05,-0.9385737,-0.05494135833935787,-0.9745132,-0.14319034989435764
6.404010491678491e-06,-1.7681901,0.027600890444463122,-1.8999875,-0.02853942950144772
6.897914136061445e-05,-0.65805304,-0.032735456554895515,-0.6835627,-0.13099843447334825
0.00010841382754733786,-0.48532355,-0.02777822051736656,-0.5345781,-0.2711171142709484
3.5430045954853995e-06,-2.3169806,-0.0014749795605535354,-2.3845167,-0.04831661479825322
9.798243354453007e-07,-3.3503678,0.016659222850084587,-3.532903,-0.009050591280471476
0.00011029117013094947,-0.45085058,0.07311021018569375,-0.5167179,-0.12174254951965524
0.00016551131557207555,-0.35256714,0.08054180484038453,-0.41275394,-0.14347125320645737
0.00016074851737357676,-0.39768207,-0.025675634945052095,-0.4485288,-0.37026613618043547
7.987988647073507e-05,-0.54995686,0.025204215747879788,-0.612615,-0.1976416478475188
0.0003529890673235059,-0.22257903,0.10469952307624442,-0.2900304,-0.2941622719767615
0.00022898244787938893,-0.2699316,0.08991619193870881,-0.32738084,-0.18646893427486677
0.00030745298136025667,-0.27123603,0.09140432344480676,-0.33134842,-0.19684885831788046
0.0008502551354467869,-0.14657532,0.11788279547308322,-0.20501372,-0.42535007522740687
1.5886649634921923e-05,-1.0601776,-0.028923738669670573,-1.0805066,-0.06941642758094968
5.077964669908397e-05,-0.73133856,-0.018511967565097875,-0.782003,-0.16412411338966992
1.0725955689849798e-05,-1.4370332,-0.032789926048872764,-1.4768128,-0.08589369972228367
9.018600394483656e-06,-1.6082972,-0.011155905262695609,-1.6331365,-0.047589570148880544
5.0780337915057316e-05,-0.7058571,-0.02204455197551336,-0.7551319,-0.16974858049671138
0.00032510620076209307,-0.2898701,,-0.33380058,
4.774428816745058e-06,-1.644206,0.026805321993893738,-1.7080429,-0.032655803616082335
0.0003047890495508909,-0.36130562,,-0.38917434,-0.3652748918878316
0.0005159238935448229,-0.23273559,,-0.27769294,
4.055798126501031e-05,-0.7005319,0.047743156572869205,-0.76256007,-0.0920803045000258
3.046442725462839e-05,-0.89007735,0.04740142320351226,-0.95666665,-0.0594172790577836
1.361408408229181e-06,-2.7718554,-0.005154623145670834,-2.8438067,-0.034417844007889276
0.00011683675256790593,-0.4196911,0.07424758642284379,-0.48305207,-0.13102172117642186
1.911710569402203e-05,-1.4053029,0.022379538627350426,-1.4670863,-0.05520209616359517
2.9592201826744713e-06,-2.2238467,-0.007151366085157984,-2.283736,-0.043874008211565174
0.0002564718888606876,-0.33136985,,-0.3769424,
0.00015350031026173383,-0.36916438,0.08285828523521022,-0.43934822,-0.1753000265664495
4.779706068802625e-05,-0.8196168,-0.05168218784993517,-0.8655329,-0.1615873930433026
7.203305722214282e-05,-0.62215245,0.057539361939970446,-0.68952864,-0.09487909160887043
5.5675638577667996e-05,-0.7083266,-0.009950587618748563,-0.76272684,-0.17041018422108278
1.849888030847069e-05,-1.0286069,0.04423979471052597,-1.106767,-0.05893247903551646
0.0005204511107876897,-0.18532409,0.11450444814664529,-0.25647312,-0.4380867636693886
8.01421410869807e-05,-0.5036514,0.046111618896618634,-0.558166,-0.13737368368467473
0.00031385195325128734,-0.30072576,0.008299619543887804,-0.34500164,-0.38722821946910024
0.00042528376798145473,-0.21899599,0.0800071544296801,-0.26724306,-0.27648461112553124
1.595073626958765e-05,-1.2036732,0.003490586811547791,-1.2477521,-0.07035573929130323
0.00011506909504532814,-0.45172307,-0.002993685701871085,-0.4932167,-0.21220631578753635
0.0002064655564026907,-0.33147618,0.06537862284503215,-0.39109024,-0.25181085595332175
0.000475478358566761,-0.19423054,0.10567587269907519,-0.25915185,-0.39279410618180655
9.755856211768332e-08,-3.683598,-0.0009639938650706226,-3.7114363,-0.021433904337200937
1.4730374459759332e-05,-0.8410951,0.014539797487039818,-0.89147085,-0.10235858474713622
6.971447874093428e-05,-0.6164713,-0.13408874653809866,-0.6616378,-0.24423494591828243
0.000182438685442321,-0.33916387,0.08665438342717668,-0.41003966,-0.19913733341253204
0.0001291966182179749,-0.41625026,0.055426414680322944,-0.46340114,-0.12082036738647894
0.00010949521674774587,-0.8411327,-0.04025276254923127,-0.88602495,-0.146718198774075
8.240618626587093e-05,-0.48737693,,-0.5326029,-0.3488278716122809
0.0001703186280792579,-0.37575084,0.07444956314947082,-0.43302578,-0.1352233053596813
9.342480552732013e-06,-1.7530943,0.009429139920115848,-1.8211973,-0.05601818577993478
0.00011175969120813534,-0.55984706,0.06372525085339387,-0.6299807,-0.11800104147411172
4.233715117152315e-06,-2.2714982,-0.0031886828164724434,-2.3282986,-0.04728461276272544
9.941870666807517e-05,-0.70912147,0.03058324856885064,-0.7681801,-0.11960184888459091
9.620430500945076e-05,-0.46352014,0.07394182850321274,-0.53635573,-0.1467841595974132
0.00010952076991088688,-0.46595246,0.021964844071638456,-0.5279925,-0.2790180160913377
0.0004169599851593375,-0.23138407,0.07549091834442523,-0.28227714,-0.31291917634132127
0.00027288508135825396,-0.4004796,0.010811152461476237,-0.4605992,-0.38214948736621546
0.00022696531959809363,-0.3201087,0.07167462822449577,-0.37127787,-0.16402437087872812
7.411766273435205e-05,-0.60542023,-0.021590998267362882,-0.65614134,-0.2102322078824883
1.3258627404866274e-05,-1.300968,-0.01627711191866399,-1.3439192,-0.07977669564701584
2.3721293473499827e-05,-0.93593645,-0.047262561780592294,-0.95376676,-0.07605302499457633
5.9077501646243036e-05,-0.64568436,0.05913301223559264,-0.7173861,-0.1028269831485199
1.7387952539138496e-05,-1.1987693,0.03343830371408241,-1.2620251,-0.04662862452706951
9.679462891654111e-06,-1.5662359,-0.017627249073477458,-1.6095074,-0.07036624334225161
4.404424180393107e-05,-0.7057222,-0.11397145353184024,-0.7415438,-0.17623286953087636
2.0178726117592305e-05,-1.0758071,-0.04454108658760403,-1.1192995,-0.12109843258933806
9.853906703938264e-06,-1.8657126,0.0165658903450141,-1.9294478,-0.03358065682417788
2.6372163119958714e-05,-1.1597733,0.03033888233851445,-1.215562,-0.04242996577922975
7.5787652349390555e-06,-1.519791,0.019648789355712015,-1.5798458,-0.04151981457929299
4.238959445501678e-05,-0.8088598,-0.03947426951776334,-0.8526313,-0.14891523036699483
3.958024535677396e-06,-2.2809706,0.00925722317869715,-2.3556626,-0.039726439663245294
4.828591045225039e-05,-0.7030387,0.04981677746511903,-0.7652527,-0.08234439654474757
6.274262705119327e-05,-0.64190006,0.03342655863237742,-0.701055,-0.13265857777973944
0.00021599407773464918,-0.33519062,0.008124781617250054,-0.394336,-0.5586331076142789
0.00012460883590392768,-0.4514,0.0018967823068190004,-0.50967205,-0.3191043148167205
1.379976856696885e-05,-1.1648425,0.013805158733705136,-1.229512,-0.08564428817530856
0.00014741616905666888,-0.38005152,0.08064264032304469,-0.44858608,-0.1654992608245135
4.137097857892513e-05,-0.81373733,-0.06237322771222997,-0.8343227,-0.09914899971713009
4.424383951118216e-05,-0.52118856,,-0.55475867,-0.24828304887564545
1.661061105551198e-05,-1.1617334,-0.019720162565122212,-1.1880838,-0.06968523356857725
1.4631968952016905e-05,-1.2156698,0.0005549013410404147,-1.2585714,-0.07349056663183107
0.0001741588639561087,-0.36548367,0.058204640834686794,-0.4160776,-0.16669643278816693
0.00013492719153873622,-0.44426784,-0.0016008339931206095,-0.4870357,-0.22390196324461098
6.284117262111977e-05,-0.6527575,-0.010266542936611445,-0.70571667,-0.18786303367906432
8.927127055358142e-06,-2.0462646,-0.020187008556290742,-2.0843658,-0.06012108245765013
5.068659447715618e-06,-1.4299868,0.018414023541474034,-1.4899673,-0.05603115923162505
0.00012855832756031305,-0.44170666,-0.023049054142354142,-0.49356982,-0.3261349715405548
2.6237066776957363e-05,-1.0151697,-0.0029326446197991407,-1.0564893,-0.08562163300832237
5.117402542964555e-05,-0.6149853,0.03026811674972274,-0.6752099,-0.15439556796311737
7.5820935308001935e-06,-0.89102185,0.04925195820758699,-0.9639825,-0.07079235884548285
0.00011184442701051012,-0.4116457,0.07706912938027699,-0.47974727,-0.15052097446369284
7.404772622976452e-05,-0.5551252,0.05379104973336579,-0.61014175,-0.09505362747405288
1.0691337593016215e-05,-1.1822623,0.04044592962638749,-1.2563461,-0.0535607632981594
1.5147945305216126e-05,-1.1675713,0.03823412542302673,-1.2383137,-0.053765305161080135
0.0001245959138032049,-0.56967795,0.05082744166845776,-0.6297588,-0.11973372052270659
2.3349442926701158e-05,-1.0422211,0.030923478322200992,-1.0923573,-0.04468647319057184
3.660956281237304e-05,-0.8136976,0.05248862842138746,-0.8873469,-0.08087876904561853
3.938102599931881e-05,-0.707701,0.03524226424228272,-0.7619956,-0.09525783436372992
6.108036905061454e-05,-0.6736075,0.020967954941191858,-0.72607267,-0.13036107100581384
2.0795700038434006e-05,-1.2379568,-0.012426394936183138,-1.2862202,-0.08821761680802898
7.749986252747476e-06,-2.3461838,-0.014110609057030876,-2.3904786,-0.050196635585076255
1.0386283975094557e-06,-4.5319676,0.00806897629743375,-4.6013575,-0.014928044292416676
9.395981032866985e-05,-0.46545336,,-0.50216955,-0.31576142891812753
3.881367956637405e-05,-0.8385678,-0.06383434670996246,-0.86367303,-0.1070214480086551
2.174217843275983e-05,-1.1636356,-0.03929250750451696,-1.1901724,-0.0782657468434288
3.3307755074929446e-05,-0.75933003,-0.015264334421886794,-0.8109415,-0.1593053462425369
2.6911879103863612e-05,-1.1667085,0.00997446800477908,-1.2171458,-0.07196726073882387
7.783901673974469e-05,-0.5434691,0.05255217856159411,-0.59591454,-0.0943112898597801
8.159592653100844e-06,-1.4686009,0.01667560061677853,-1.5261463,-0.053505524468117294
9.083853001357056e-06,-1.167049,0.03036828436580241,-1.2211449,-0.042784227210781456
3.208700945833698e-05,-0.9091297,-0.05068838012306953,-0.9552225,-0.1474094210098016
7.137656939448789e-05,-0.62242305,-0.04852203168060698,-0.6489363,-0.12847474238910628
2.0910163129883585e-06,-1.8050791,-0.023843022368779887,-1.8384556,-0.05904650127454536
3.45643002219731e-06,-2.6748579,0.020640564904915726,-2.7577205,-0.02375475470869448
2.2253339921007864e-05,-1.0236219,-0.051708991719260244,-1.0582982,-0.10986897104929405
1.5677450164730544e-06,-9.765945,-0.0021392941191274994,-9.833714,-0.010660271205321092
1.750199771777261e-05,-1.1706288,0.03903115799715584,-1.2427374,-0.05462605235953155
2.3385176973533817e-05,-0.95666087,0.0422603067707652,-1.0227646,-0.06282556661980399
1.4744773579877801e-05,-0.98482484,0.017408490118787645,-1.0475935,-0.10054753467177713
2.8057140298187733e-05,-0.8758624,0.007186137194149511,-0.9370914,-0.13203792514903911
6.929310075065587e-06,-1.5326414,0.031783935532135876,-1.6010991,-0.03649706126801033
2.376333395659458e-05,-4.77743,0.007080124895454398,-4.8732457,-0.011542256915328841
2.67604391410714e-05,-0.86917907,0.04236779938551494,-0.9283206,-0.06276939031751716
1.3436949302558787e-05,-2.0740266,0.001761456666799388,-2.1366322,-0.05126229943766647
2.9757052288914565e-06,-1.8764546,-0.017122881843796955,-1.9223356,-0.06337899037541561
3.6790552258025855e-05,-0.80939376,0.023945256205681886,-0.87078965,-0.11635407955257604
6.488975486718118e-05,-0.97831476,0.0417308308475155,-1.0389756,-0.051845021683159964
9.124338976107538e-05,-0.5310527,0.06001331546957567,-0.59248734,-0.11099095449036689
0.00023783124925103039,-0.26589197,0.09791774513828155,-0.3374678,-0.2701059283611672
2.520806810935028e-05,-0.8380425,0.04312158617425421,-0.8968788,-0.06565124385103993
2.992641930177342e-05,-0.94402385,0.012382819594606076,-0.99451023,-0.0902678089086737
0.0001095970073947683,-0.4221951,0.0771630222753068,-0.4947679,-0.1652045887774679
6.308219781203661e-06,-1.9075111,-0.021987444379359955,-1.947769,-0.06203040901638657
1.8008358892984688e-05,-1.2863556,-0.020349628828858157,-1.330189,-0.08561682605336951
6.963562918826938e-05,-0.6079594,-0.016168181581260765,-0.6608052,-0.21212098894862297
