Losses,Train Sharpe Ratios,Train Annualized Returns,Test Sharpe Ratios,Test Annualized Returns
0.0003470770316198468,-0.22862676,0.10467666590306468,-0.29983714,-0.3265057377802256
0.0014126719906926155,-0.09598173,0.14333600189650286,-0.16453856,
0.00010385672794654965,-0.33491826,-0.023573762243623286,-0.38304374,
1.1342815014359076e-05,-1.4119959,-0.029712181945003024,-1.4363747,-0.05628948312852555
4.723275651485892e-06,-2.5646,0.013636043230920825,-2.6202488,-0.01865489220342853
6.045670488674659e-06,-1.5833491,-0.012446856436396203,-1.6311255,-0.06873545717191099
1.4907047898304882e-06,-2.3490164,0.01343504636659909,-2.3879452,-0.025021485872677163
1.6281533135042991e-06,-4.1546154,0.007997849886542507,-4.216311,-0.01730755698706332
3.8757667653044336e-07,-11.605592,0.0005230903567565726,-11.586022,-0.009097817209495651
4.513178453180444e-07,-12.392123,-0.0019161774981191204,-12.490203,-0.005478999819886421
1.5678011550335214e-05,-1.3984203,0.028342441484988434,-1.4539204,-0.03852054718543141
4.359383183327736e-06,-2.6035583,-0.006204441895442447,-2.6394775,-0.028427183067567863
1.3108125358485267e-06,-3.5135767,-0.010583839167732645,-3.5662997,-0.033533867416882246
6.983552793826675e-07,-5.633438,0.004212917697762553,-5.6849365,-0.015504428385488045
4.785616965818917e-06,-2.1813397,-0.01896671989812737,-2.2192438,-0.0465554038605811
9.131543265539221e-06,-1.8049425,0.006092725965907597,-1.8677795,-0.05872460375869615
2.687242840693216e-06,-4.8257504,-0.006379328257792749,-4.856752,-0.013094062296995279
1.4119851812210982e-06,-4.2154565,0.014427960069274937,-4.284299,-0.015293766921560814
4.022475508236312e-08,-12.451018,0.005194176368110925,-12.480461,-0.005249398076750289
8.13662882137578e-06,-1.9520384,-0.002681178469541301,-1.9942993,-0.04030122566701
4.30188902100781e-06,-2.5134041,0.013987419781680943,-2.5525916,-0.017886336280839354
3.3074354632844916e-07,-18.819368,0.0003396306101153268,-18.793713,-0.005540587549841103
3.095185093116015e-06,-3.094024,-0.008197520539191872,-3.1425004,-0.034965499441453995
1.848760575740016e-06,-3.1810083,-0.011541037980725588,-3.2311492,-0.03731900182666603
1.7906811990542337e-05,-1.841701,-0.021411501055598747,-1.8704531,-0.04704823841896488
3.387179958735942e-06,-2.0449169,0.0262833208445028,-2.1171138,-0.03177989384552371
1.475894919167331e-06,-9.879608,0.005885387507625017,-9.960258,-0.006046762116194593
3.2564812499913387e-06,-2.0904894,-0.009258399998114508,-2.1198978,-0.034972330088617665
4.976374839316122e-06,-1.9567713,0.013741767352855927,-2.0147262,-0.03784820955853807
2.062906787614338e-06,-3.3248947,0.013243217521776263,-3.38265,-0.015436860647337403
7.441689376719296e-06,-1.6841037,-0.00431292690729701,-1.7224414,-0.04690481898636645
3.2747152545198333e-06,-3.0035458,0.006477250133054779,-3.0590553,-0.02642596298428357
1.679726210568333e-06,-5.41786,0.011251757681616903,-5.4943566,-0.011879961064301892
3.5677439313985815e-07,-9.549033,0.004317401739384996,-9.608254,-0.004877250181855697
2.207827094480308e-07,-9.441738,0.00012843433898956924,-9.500266,-0.011129072676583696
1.616653321434569e-06,-14.95614,-0.0013722694817388525,-14.989202,-0.006411437349897464
4.614375370692869e-07,-1.4014527,0.0217485195692797,-1.4489783,-0.03787626364597396
7.593270765937632e-06,-1.7290621,0.013268353846378478,-1.7896513,-0.049196845588193705
1.9672374946821947e-06,-3.0729759,0.010418878887573868,-3.1332052,-0.02393504279397929
1.5080024240887724e-05,-2.0149472,0.013388253001044959,-2.07396,-0.03813437940623898
9.286643035011366e-06,-2.8347178,-0.01166846803112187,-2.853272,-0.023370111974522878
2.4314749680343084e-06,-3.483261,-0.009472020243776136,-3.532713,-0.03372968023703404
6.766974820493488e-07,-23.962326,-0.0014159537466525984,-23.993795,-0.0034703491152811017
6.1678356360062025e-06,-2.1748722,0.024942778460110393,-2.246554,-0.029868026991659247
1.4723282220074907e-06,-5.5777316,0.006996167392059327,-5.626279,-0.008111045287268581
2.0632285213650903e-06,-3.849352,-0.00973660440530888,-3.8846195,-0.024543389503785207
1.2905920812045224e-06,-5.928901,0.001991056206485764,-5.9984574,-0.01703562399407199
7.292162081284914e-06,-3.164355,0.008809309589842051,-3.2229185,-0.023415920563256587
2.6038042051368393e-06,-6.585918,0.009187256757598794,-6.6589966,-0.009644288690498382
7.523312319790421e-07,-14.36355,0.0019217224472791727,-14.4368305,-0.005407431335479496
1.8968236759064894e-07,-5.6912804,-0.005204495566619727,-5.746348,-0.019922867742545702
