Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.498,15.8,17.56,0.8
4,3.0538,23.7,23.54,1.66
6,2.7852,28.94,27.54,2.51
8,2.5893,32.94,29.32,3.35
10,2.4292,36.22,30.95,4.24
12,2.2913,39.27,31.89,5.12
14,2.1738,41.48,32.26,6.01
16,2.0643,44.16,32.05,6.88
18,1.9647,46.17,31.8,7.77
20,1.8704,48.37,32.41,8.64
22,1.7893,50.33,32.07,9.51
24,1.7071,51.9,32.38,10.36
26,1.6265,53.89,31.53,11.25
28,1.5585,55.23,31.58,12.13
30,1.5047,56.64,31.51,12.93
32,1.4344,58.32,31.59,13.82
34,1.3786,59.74,30.63,14.7
36,1.3344,60.78,30.94,15.59
38,1.2879,62.06,31.38,16.63
40,1.2358,63.29,29.96,17.51
42,1.2063,63.92,30.18,18.38
44,1.1653,64.67,30.4,19.18
46,1.1295,65.91,29.9,20.06
48,1.101,66.75,30.41,20.95
50,1.0685,67.41,30.07,21.84
52,1.031,68.41,29.76,22.7
54,1.007,69.13,29.65,23.6
56,0.98,69.76,29.94,24.49
58,0.9549,70.41,29.53,25.3
60,0.9342,71.19,29.68,26.17
62,0.9117,71.7,29.8,27.05
64,0.8947,71.95,30.05,27.89
66,0.8654,73.03,29.81,28.79
68,0.8594,73.06,29.1,29.67
70,0.8432,73.56,28.88,30.48
72,0.8119,74.4,29.36,31.39
74,0.8069,74.35,29.75,32.27
76,0.7655,75.75,29.14,33.12
78,0.7721,75.5,29.31,34.01
80,0.7503,76.11,29.71,34.86
82,0.7448,76.36,29.25,35.71
84,0.7198,77.04,28.95,36.6
86,0.7181,76.84,28.78,37.44
88,0.7004,77.47,28.91,38.34
90,0.6836,77.98,29.17,39.15
92,0.675,78.23,29.1,40.07
94,0.6565,78.76,29.14,40.86
96,0.6554,78.8,29.22,41.73
98,0.6362,79.44,29.12,42.53
100,0.6276,79.89,28.45,43.37
