Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.4191,17.04,19.24,0.57
4,3.0088,24.72,24.3,1.07
6,2.7534,29.67,27.7,1.64
8,2.5657,33.48,29.32,2.08
10,2.4169,36.42,30.33,3.33
12,2.2836,39.21,30.84,3.82
14,2.1656,41.88,31.45,4.39
16,2.0624,43.87,31.02,4.98
18,1.9688,46.08,31.52,5.55
20,1.8819,47.92,31.54,6.05
22,1.7986,49.84,31.59,6.61
24,1.728,51.68,30.93,7.1
26,1.6597,52.7,31.54,7.66
28,1.602,54.57,30.95,8.18
30,1.5485,55.36,30.43,8.76
32,1.4891,56.75,30.08,9.25
34,1.4364,58.11,29.97,9.82
36,1.4013,58.99,29.38,10.38
38,1.3433,60.43,30.06,10.84
40,1.3081,61.2,30.05,11.35
42,1.2685,62.54,29.95,11.9
44,1.2315,63.09,29.59,12.38
46,1.2003,64.17,29.68,12.9
48,1.1804,64.53,29.57,13.48
50,1.139,65.5,29.62,13.99
52,1.1175,66.15,28.91,14.52
54,1.0845,66.96,29.07,15.03
56,1.059,67.51,28.77,15.53
58,1.0444,67.8,29.03,16.06
60,1.0161,68.53,29.09,18.17
62,0.996,69.31,28.86,18.69
64,0.9774,69.77,28.93,19.28
66,0.9473,70.68,28.91,19.85
68,0.935,70.78,28.62,20.37
70,0.9223,71.36,28.61,20.91
72,0.9028,71.78,28.68,21.49
74,0.892,72.22,28.13,22.06
76,0.8544,73.24,28.53,22.63
78,0.8607,73.05,28.79,23.09
80,0.8387,73.65,28.41,23.66
82,0.8246,74.12,28.38,24.23
84,0.818,74.12,28.33,24.78
86,0.7906,75.01,28.56,25.29
88,0.79,74.99,28.18,25.83
90,0.7694,75.52,28.77,26.36
92,0.7681,75.51,27.95,26.88
94,0.7434,76.24,28.46,27.45
96,0.7502,76.04,28.27,27.99
98,0.7172,77.07,27.76,28.56
100,0.7131,77.22,28.07,29.14
