Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.5189,15.24,17.75,1.2
4,3.0765,23.41,23.5,2.4
6,2.82,28.39,27.12,3.6
8,2.6386,31.99,28.65,4.81
10,2.4856,35.55,30.07,5.96
12,2.3539,37.93,30.85,7.16
14,2.2317,40.77,30.94,8.35
16,2.1701,41.92,31.23,9.56
18,2.0301,45.01,31.32,11.1
20,2.2223,40.86,31.72,12.75
22,1.9373,46.95,31.97,13.95
24,1.8554,48.57,30.92,15.16
26,1.8345,49.45,30.27,16.41
28,1.7075,52.15,30.87,17.6
30,1.8862,47.64,32.04,18.81
32,1.6306,53.99,31.04,20.03
34,1.6417,53.68,30.77,21.23
36,1.5213,56.58,30.41,25.24
38,1.4626,57.94,30.15,26.42
40,1.4181,58.78,30.41,31.22
42,1.3771,59.55,30.0,32.42
44,1.3306,61.06,29.53,33.6
46,1.2894,61.8,29.94,34.78
48,1.2504,62.75,30.02,35.97
50,1.2042,63.91,29.63,37.16
52,1.172,64.81,28.93,38.35
54,1.1392,65.79,29.35,39.44
56,1.1119,66.26,29.04,40.61
58,1.0835,67.13,28.98,41.8
60,1.0484,68.32,29.09,42.99
62,1.03,68.4,28.86,44.19
64,1.0021,69.12,28.58,45.28
66,0.9811,69.82,28.12,46.44
68,0.9491,70.48,29.19,47.63
70,0.9288,71.31,28.59,48.84
72,0.8999,72.03,28.84,50.04
74,0.8858,72.44,28.26,51.25
76,0.8652,72.89,29.05,52.44
78,0.8496,73.31,28.26,53.66
80,0.8431,73.45,28.82,54.86
82,0.8272,73.91,28.19,56.08
84,0.8038,74.79,28.31,57.28
86,0.7843,75.14,27.6,58.47
88,0.7825,75.17,28.13,59.67
90,0.7702,75.64,27.91,60.88
92,0.7511,76.26,27.76,62.1
94,0.7378,76.47,28.11,63.3
96,0.7341,76.77,27.63,64.51
98,0.7029,77.42,28.06,65.7
100,0.7066,77.32,27.9,66.9
