Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.4776,16.18,18.1,1.71
4,3.0612,23.72,24.13,3.43
6,2.8144,28.4,28.14,5.12
8,2.7079,30.38,29.48,6.83
10,2.4772,34.89,31.47,8.55
12,2.346,37.78,32.77,10.27
14,2.265,39.66,33.39,11.99
16,2.15,42.25,33.42,13.65
18,2.0968,43.35,34.4,15.33
20,1.9906,45.63,33.99,19.19
22,2.052,45.28,6.55,20.85
24,3.3594,18.92,19.57,26.51
26,3.1046,23.21,22.28,28.09
28,2.9044,26.98,24.47,29.7
30,2.7365,30.22,26.9,31.28
32,2.5876,33.02,28.9,32.86
34,2.4431,35.99,31.34,34.41
36,2.31,38.62,33.13,35.96
38,2.1787,41.4,34.6,37.53
40,2.0845,43.55,34.82,39.08
42,1.9974,45.77,35.36,40.65
44,1.9124,47.39,35.63,42.31
46,1.8496,48.72,36.05,45.22
48,1.7684,50.59,35.59,46.81
50,1.6981,52.09,35.26,48.37
52,1.6368,53.59,34.9,49.92
54,1.5757,55.05,34.85,51.52
56,1.5281,56.01,34.74,53.1
58,1.4727,57.68,34.75,54.66
60,1.4057,59.17,34.59,56.24
62,1.3397,60.87,33.78,57.79
64,1.3697,59.97,34.04,59.37
66,1.2388,63.38,33.8,60.94
68,1.1999,64.28,33.18,62.5
70,1.1581,65.18,33.6,64.32
72,1.1184,66.19,33.22,65.97
74,1.0744,67.47,32.82,67.76
76,1.0438,68.0,32.46,69.47
78,1.0075,69.24,32.03,71.06
80,0.9722,69.99,32.63,72.59
82,0.9442,70.73,32.39,74.16
84,0.9246,71.34,31.99,75.75
86,0.8927,72.26,32.1,77.34
88,0.8634,73.0,31.82,78.93
90,0.8468,73.38,31.9,80.5
92,0.8234,73.94,31.61,82.2
94,0.7995,74.99,31.9,83.77
96,0.7838,75.14,31.38,85.36
98,0.7618,75.52,31.54,86.98
100,0.7401,76.51,31.1,88.52
