Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.4287,16.98,18.27,0.69
4,3.0483,23.97,23.57,1.42
6,2.7915,29.03,26.72,2.1
8,2.5994,32.76,28.3,2.77
10,2.4456,36.08,29.68,3.45
12,2.3188,38.65,30.97,4.11
14,2.1924,41.31,31.18,4.84
16,2.0959,43.2,31.79,5.58
18,1.9895,45.76,31.46,6.35
20,1.8998,47.69,31.16,7.07
22,1.822,49.31,31.6,8.55
24,1.7399,51.3,31.31,9.26
26,1.6678,53.09,30.65,13.31
28,1.6048,54.69,30.46,14.03
30,1.5563,55.56,30.36,14.74
32,1.4926,57.12,29.9,15.45
34,1.4418,58.28,29.99,16.13
36,1.393,59.45,29.96,16.89
38,1.3464,60.65,29.07,17.5
40,1.3112,61.44,29.47,18.13
42,1.2725,62.41,29.45,18.77
44,1.2334,63.21,29.35,19.52
46,1.1952,64.27,29.3,20.2
48,1.1644,65.1,28.95,20.85
50,1.1355,65.7,28.95,21.57
52,1.1106,66.51,29.32,22.31
54,1.0902,67.09,28.69,23.0
56,1.0584,67.9,29.1,23.72
58,1.0219,68.95,28.5,24.4
60,1.008,69.04,29.3,25.12
62,0.9982,69.47,29.03,25.82
64,0.9679,70.1,28.35,26.57
66,0.9465,70.56,28.23,27.21
68,0.9183,71.6,28.26,27.88
70,0.926,71.4,28.45,28.54
72,0.8852,72.49,28.15,29.24
74,0.874,72.88,28.16,29.88
76,0.8518,73.34,28.44,30.51
78,0.8489,73.42,27.61,31.22
80,0.8344,73.95,27.65,31.94
82,0.8017,74.75,28.06,32.65
84,0.8135,74.47,28.14,33.34
86,0.7823,75.39,27.72,33.95
88,0.7768,75.31,28.11,34.66
90,0.7728,75.53,28.04,35.4
92,0.7445,76.52,28.16,36.15
94,0.7506,76.35,27.96,36.9
96,0.7356,76.43,28.2,37.61
98,0.7236,77.04,27.51,38.33
100,0.7132,77.42,27.66,38.96
