Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.2284,20.7,22.56,0.75
4,2.7321,30.01,28.41,1.5
6,2.4365,36.13,31.1,2.23
8,2.2229,40.56,33.02,2.98
10,2.1657,41.88,32.3,3.71
12,2.0031,45.36,32.82,4.48
14,2.2836,39.63,32.55,5.13
16,2.1279,42.48,35.2,5.72
18,1.7407,51.28,36.21,6.36
20,2.3874,37.24,34.4,7.08
22,2.0269,45.11,37.07,7.85
24,1.6925,52.47,36.31,8.6
26,2.0434,44.25,35.35,9.7
28,1.6414,53.5,37.36,10.94
30,1.4669,57.73,37.43,11.67
32,1.4586,57.79,36.05,12.37
34,1.5202,56.3,36.66,13.12
36,1.7686,50.01,36.79,13.84
38,1.9288,46.7,35.25,14.6
40,2.0033,44.9,36.01,15.3
42,1.5997,54.34,37.82,16.04
44,2.2408,40.85,29.52,16.69
46,1.9654,46.01,35.95,17.35
48,1.733,51.52,36.57,18.09
50,1.5837,54.91,37.49,18.78
52,1.8501,50.42,33.19,19.48
54,1.7734,50.17,36.35,23.04
56,1.5181,56.49,36.61,23.74
58,1.3683,60.33,38.02,24.44
60,1.5177,57.08,36.22,25.15
62,1.251,63.16,38.33,25.87
64,1.1476,66.01,37.85,30.18
66,1.231,64.97,29.54,30.91
68,1.256,62.68,37.28,31.59
70,1.0256,69.09,37.5,32.17
72,0.8929,73.1,37.07,32.82
74,0.8433,74.1,36.53,33.5
76,1.2346,64.4,36.7,34.22
78,0.7283,77.57,36.8,34.94
80,0.7229,77.31,36.18,35.7
82,0.5986,81.18,36.28,36.46
84,0.5405,82.75,36.17,37.15
86,0.5768,81.23,36.21,37.89
88,0.4695,84.99,35.37,38.62
90,0.409,86.87,35.91,39.27
92,0.4522,85.18,35.77,39.98
94,0.3484,88.82,35.32,40.65
96,0.5326,82.64,35.56,41.34
98,0.3452,88.75,33.34,42.09
100,0.2733,91.24,36.09,42.8
