Epoch,Loss,Training Accuracy,Testing Accuracy,Evaluation Time
2,3.4827,15.95,18.21,0.7
4,3.0573,23.79,24.41,1.27
6,2.7873,29.07,27.88,2.71
8,2.5953,33.08,30.14,3.43
10,2.435,36.08,31.27,4.07
12,2.2952,39.26,32.37,4.81
14,2.1709,41.89,32.44,5.54
16,2.0681,43.66,33.11,6.2
18,1.9621,46.3,33.14,6.85
20,1.8724,48.32,32.9,7.57
22,1.7889,50.11,32.73,8.28
24,1.7044,52.14,32.22,9.01
26,1.6427,53.26,31.97,9.7
28,1.5734,54.93,32.12,10.41
30,1.5087,56.7,31.92,11.02
32,1.4505,57.91,31.16,11.75
34,1.4021,59.26,31.34,12.47
36,1.3571,60.4,31.32,13.15
38,1.3092,61.36,31.07,13.84
40,1.2715,62.1,30.98,14.57
42,1.2254,63.64,30.64,15.26
44,1.1966,64.02,30.17,17.51
46,1.1643,64.9,29.82,18.26
48,1.1243,65.93,29.93,18.96
50,1.096,66.75,29.81,19.69
52,1.0772,67.18,30.27,20.39
54,1.0395,68.36,29.68,21.08
56,1.0133,68.91,29.2,21.74
58,0.9924,69.46,29.57,22.4
60,0.9622,70.26,29.78,23.09
62,0.936,70.94,29.38,23.77
64,0.9305,71.35,29.48,24.44
66,0.9101,71.52,29.22,25.16
68,0.8735,72.55,28.68,25.82
70,0.8837,72.35,28.72,26.51
72,0.8564,73.17,29.15,27.18
74,0.8316,73.7,29.12,27.83
76,0.8296,73.88,29.29,28.52
78,0.8135,74.33,29.55,29.21
80,0.8082,74.46,28.71,29.92
82,0.7794,75.32,29.14,30.6
84,0.7792,75.33,29.24,31.29
86,0.7608,75.85,29.3,32.0
88,0.7309,76.53,28.68,32.67
90,0.731,76.66,28.78,33.36
92,0.7253,76.76,28.94,34.09
94,0.7085,77.45,28.76,34.78
96,0.7013,77.48,28.86,35.42
98,0.6947,77.58,28.8,35.96
100,0.6762,78.0,28.64,36.62
