Losses,Train Sharpe Ratios,Train Annualized Returns,Test Sharpe Ratios,Test Annualized Returns
0.013728623278439045,-0.10888584,0.14861154710746005,-0.2361769,
0.0398281030356884,0.012826476,0.2588674901618242,-0.09463987,
0.0006004188326187432,-0.23203175,0.11112761352549838,-0.34938595,
0.003515738295391202,-0.018723268,0.20466455400634675,-0.14491326,
0.0006567556411027908,-0.0999567,0.14100245941849332,-0.19832477,
0.001248349086381495,-0.21278803,0.11552055887671098,-0.34168914,
0.0015281954547390342,-0.12889348,0.1319769851486583,-0.22879766,
0.0032535833306610584,-0.014600399,0.20956080041933078,-0.14634474,
0.0022139661014080048,-0.13310614,0.1294946519870972,-0.2424346,
0.022419018670916557,-0.05276744,0.16653745178964585,-0.14504412,
0.012368394061923027,-0.02558325,0.1963477019363944,-0.15046197,
0.0032083261758089066,-0.08610375,0.14787313519779444,-0.1912962,
0.0041730161756277084,-0.13020405,0.13722556179224843,-0.25300494,
0.0015843716682866216,-0.24614947,0.11056059824530928,-0.37058237,
0.000785669544711709,-0.35444131,0.09265602463937395,-0.48273808,
0.0030436585657298565,-0.39891443,0.09023338580701368,-0.5333867,
0.0023878219071775675,-0.5791576,0.06665738109597585,-0.68450004,-0.24662789698045962
0.009333325549960136,-0.8186377,0.04924922084028105,-0.9097031,-0.13648798676994522
0.006989262066781521,-0.5313981,0.07801422133255742,-0.66590977,-0.41308667495476514
7.683846342843026e-05,-0.6791246,0.0687193145881142,-0.8154018,-0.2885110690837974
0.0025805477052927017,-0.39511862,0.0909701960453857,-0.52660173,
0.0006481656455434859,-0.5855406,0.07318195281406248,-0.7159612,-0.33394272934754465
0.000522843562066555,-1.0676699,0.04183957713375763,-1.1746124,-0.1305181337747936
0.0029329885728657246,-1.5157537,0.03451360484691213,-1.6303222,-0.09349464491885628
0.00022976344916969538,-0.6365131,0.06825693525562526,-0.7594694,-0.2695366956680104
0.00245105498470366,-1.1837339,0.04763880728538017,-1.3184937,-0.14388058929005032
0.0009547797963023186,-0.7815597,0.06207827383287401,-0.91641533,-0.23973360076047723
0.012262201867997646,-0.32272893,0.0991449144798684,-0.45066622,
0.0014123204164206982,-1.0269127,0.046588063405421654,-1.1349868,-0.12954868607467462
0.005812142975628376,-2.5911207,0.02309271066789531,-2.7136686,-0.056201921506084496
0.002575636375695467,-0.72676563,0.06314462653741759,-0.855631,-0.24896823325185813
0.0006422886508516967,-0.33258823,0.09592754919929858,-0.4545228,
0.0006788580794818699,-0.6322067,0.060489225714313255,-0.7295461,-0.2000065810352667
0.009378019720315933,-0.54973096,0.06941930543328323,-0.65710694,-0.2708838276536041
0.004587259143590927,-0.2823613,0.09988184509713371,-0.39401004,
0.004234821069985628,-0.7742786,0.05304511659732736,-0.8711992,-0.15656453383249447
0.010598399676382542,-0.6197949,0.06568642595641938,-0.7311287,-0.24468139425043955
0.0016379489097744226,-0.28429258,0.09906593392024021,-0.39523187,
0.0026167873293161392,-0.36390063,0.08789552917420784,-0.48162958,
0.0007724321912974119,-0.20408176,0.11964880679284606,-0.33246905,
0.00870272796601057,-0.57258666,0.07386118931582164,-0.7030184,-0.3472935539954032
0.002572356490418315,-0.36818883,0.08836510878260984,-0.48112822,-0.5799712672147666
0.0006208415143191814,-0.41139403,0.08078989542259918,-0.5253285,-0.5111788119600832
0.00360557297244668,-0.27680963,0.10459570526544626,-0.40228525,
0.0006667822017334402,-0.5607626,0.07478655584050142,-0.69034934,-0.3523588363189577
0.008552813902497292,-0.32697338,0.09366197421490363,-0.43986878,
0.00155249098315835,-0.8478808,0.05442823490370108,-0.9640226,-0.17892344794301462
0.012769261375069618,-0.319917,0.09124735225617187,-0.42687997,
0.0032728035002946854,-0.5088702,0.0790020797936577,-0.6389156,-0.414423276557367
0.001673722406849265,-0.6383086,0.06795953105323038,-0.7662517,-0.29354399805029063
0.000985720893368125,-0.56120557,0.06517202974844327,-0.66173565,-0.246890956399895
0.005614690016955137,-2.048881,0.027962403970537508,-2.169782,-0.07146449614164985
0.001577236456796527,-0.20107378,0.11089352271674824,-0.30109617,
0.0035504442639648914,-0.14775795,0.13553489054979528,-0.2789966,
0.0016971580917015672,-0.15991239,0.12254901910475202,-0.27286386,
6.711024616379291e-05,-0.296334,0.10329248764076948,-0.42995602,
0.0021520229056477547,-0.2513115,0.09989992720304142,-0.34955296,
0.0006593004218302667,-0.16408506,0.13057279996875892,-0.2974037,
0.01091535110026598,-0.25647992,0.09695584443929661,-0.36176112,
0.00012281924136914313,-0.62865204,0.06903213476851855,-0.75873613,-0.30794750385917335
0.0009009239147417247,-0.3371234,0.09850767929023352,-0.4700005,
0.002289527328684926,-0.24206132,0.1132305692027713,-0.37617344,
0.0007844176143407822,-0.6390259,0.06000165105958666,-0.7476955,-0.24538717921720132
0.002195316134020686,-0.6522251,0.07023768209602843,-0.78712773,-0.2991617421819561
0.00014307189849205315,-0.5144799,0.06697531047628003,-0.6075863,-0.2432450663356428
7.07110739313066e-05,-0.27954525,0.10231012688860064,-0.40509722,
0.0005534738302230835,-0.4765756,0.07006668525676485,-0.5723783,-0.28586389103570387
0.0018469642382115126,-0.26325965,0.1054994105787177,-0.38859183,
0.001149187795817852,-0.4418276,0.08210172470066235,-0.55999655,-0.4369534945217761
0.0009985774522647262,-0.406372,0.0789118433379501,-0.51683426,-0.5092155076136733
0.0011023575207218528,-0.37596443,0.08828413529068868,-0.49412736,-0.660764876235577
0.001524809980764985,-0.35658377,0.08623609033021373,-0.46829307,-0.7529077593560943
0.0005677643930539489,-0.41976285,0.08685503124854188,-0.5477568,-0.5979115652630449
0.0001845110673457384,-0.28312013,0.0944650400255096,-0.39242125,
0.0012921462766826153,-1.5627562,0.03841229172688165,-1.696817,-0.10531588039737372
0.00043965212535113096,-0.48373306,0.07486567247136966,-0.5996872,-0.3888429770488496
0.0008239812450483441,-0.9042344,0.05577223504340578,-1.0373691,-0.19817973714228965
0.00033071424695663154,-0.44461918,0.07142293873390693,-0.54641473,-0.3770274168630058
0.000903300242498517,-0.85662836,0.0496877828659823,-0.96365637,-0.16606486491640338
0.00047660412383265793,-0.65054995,0.06879780448626405,-0.7788127,-0.2780376374532807
0.007743246853351593,-0.6273466,0.06900815226634127,-0.75803757,-0.31276802819119187
0.003956988453865051,-0.4417711,0.08336006921862582,-0.5721362,-0.5950943237319841
0.0026612442452460527,-0.81235844,0.05887124875013061,-0.9384058,-0.20743085954581553
0.0006969781243242323,-0.96173584,0.053534368811375854,-1.0931666,-0.17981659213085988
0.001098796958103776,-0.7596178,0.06349381817154942,-0.89509845,-0.24946046632369712
0.0011215870035812259,-0.67587924,0.06662205893143236,-0.8090437,-0.28979462574803105
0.0019897231832146645,-0.75584126,0.05357289227415851,-0.8615477,-0.19005438427743793
0.0007588170119561255,-0.79550177,0.05493816859864986,-0.91242343,-0.20231968223307972
0.00029770098626613617,-0.37628174,0.09193126697710885,-0.5097434,
0.0014789659762755036,-0.17520967,0.11698509409374869,-0.27733433,
0.008544567972421646,-0.21045937,0.11596034947808209,-0.33191067,
0.00039645476499572396,-0.5487487,0.07396352901228509,-0.67885107,-0.3834522890348787
0.00040052051190286875,-0.4194448,0.08727111440137336,-0.5524331,-0.7485596008802904
0.0042389011941850185,-0.22925691,0.10376494857753848,-0.32912815,
0.002740764059126377,-0.21119785,0.10837286332766638,-0.31302786,
0.00029909127624705434,-0.40014163,0.08346356658525522,-0.5130585,-0.5004600693781951
0.0005325704114511609,-0.24555074,0.10420750625517172,-0.36235112,
0.0014646109193563461,-0.3217696,0.09885129200315457,-0.45487002,
0.00683035422116518,-0.18672757,0.10921482435303753,-0.27756977,
0.0013079544296488166,-0.31959385,0.08831965642067274,-0.41849697,-0.6116300726532155
0.004408818669617176,-0.28492713,0.09177513326633635,-0.38931173,
0.0020014806650578976,-0.32445773,0.09858565123002316,-0.4562719,
1.1515940059325658e-05,-0.31417814,0.10021860738995314,-0.4467762,
0.0046117184683680534,-0.5371958,0.06560438252341294,-0.6432975,-0.3013041329257278
0.0001732396485749632,-0.3730608,0.09038273548456788,-0.5022765,
0.004276853520423174,-0.17236216,0.12771246958469695,-0.30371892,
0.0004334262921474874,-0.3028743,0.09693023667112777,-0.42514288,
0.005831695161759853,-0.48930943,0.07283948733197243,-0.6036188,-0.38192570730047937
0.006388399749994278,-0.30030623,0.10171617633968699,-0.4304552,
0.0002244872011942789,-0.5457065,0.06837141157108251,-0.6524244,-0.27798082305355865
0.00021628114336635917,-2.3637097,0.026632547945227625,-2.4943328,-0.06569311838850944
0.005660771857947111,-0.33687145,0.09652311325781016,-0.46724248,
0.0019592184107750654,-0.1793322,0.1260714431974499,-0.3115548,
