Losses,Train Accuracy,Test Accuracy
0.6936226,0.4993730407523511,0.4090909090909091
0.7048367,0.4846394984326019,0.6363636363636364
0.69645697,0.5153605015673981,0.36363636363636365
0.70009226,0.5006269592476489,0.5909090909090909
0.7080986,0.5153605015673981,0.36363636363636365
0.6930939,0.4846394984326019,0.6363636363636364
0.71385586,0.4846394984326019,0.6363636363636364
0.6980734,0.5006269592476489,0.5909090909090909
0.6975574,0.4993730407523511,0.4090909090909091
0.69480854,0.5006269592476489,0.5909090909090909
0.69357336,0.4993730407523511,0.4090909090909091
0.69346625,0.4846394984326019,0.6363636363636364
0.69773793,0.5153605015673981,0.36363636363636365
0.6932669,0.5006269592476489,0.5909090909090909
0.6951643,0.4846394984326019,0.6363636363636364
0.6934583,0.5153605015673981,0.36363636363636365
0.6933453,0.5153605015673981,0.36363636363636365
0.69310254,0.5153605015673981,0.36363636363636365
0.69555247,0.4846394984326019,0.6363636363636364
0.6936683,0.5153605015673981,0.36363636363636365
