Losses,Train Accuracy,Test Accuracy
0.6924095,0.5012578616352201,0.5909090909090909
0.6984395,0.4987421383647799,0.4090909090909091
0.6958052,0.5012578616352201,0.5909090909090909
0.6902367,0.4748427672955975,0.6363636363636364
0.6900393,0.5251572327044025,0.36363636363636365
0.69022274,0.5251572327044025,0.36363636363636365
0.6902104,0.5012578616352201,0.5909090909090909
0.689368,0.5012578616352201,0.5909090909090909
0.6895438,0.5251572327044025,0.36363636363636365
0.68957114,0.5251572327044025,0.36363636363636365
